Date,Channel,MKTer,Chiến dịch,Chi phí Marketing,Impression,Reach,Click,Share,Cmt,Inbox,Lead MKT,Đơn hàng,Doanh thu,Paid Revenue 1,Giá Lead,Đơn/Lead,CPM,CPC,"Giá Mess
(Cmt + Inbox)",ME1 (ME đã bao gồm thuế + phí),ROAS
2020-07-08,Google,TienTran,PerMax,122822,13425,0.0,317,0,0,0,1,1.0,499000.0,499000,122822.0,1.0,9148.752327746743,387.4511041009464,0.0,122822.0,4.062790053899138
2020-07-08,Google,TienTran,Guu-PerMax,158013,5417,0.0,93,0,0,0,1,1.0,499000.0,499000,158013.0,1.0,29169.83570241831,1699.0645161290322,0.0,158013.0,3.1579680152898812
2020-07-09,FB,NgocNgo,CVS,450929,7058,6616.0,58,0,2,0,94,84.34782608695652,43325173.91304348,34712000,4797.117021276596,0.8973172987974097,63889.06205724001,7774.637931034483,225464.5,487003.32,96.07981281541767
2020-07-09,FB,GiangPhan,CVS,5794316,73915,66758.0,483,17,38,0,37,32.91304347826087,17421608.695652176,16467000,156603.13513513515,0.8895417156286721,78391.61198674153,11996.513457556935,152482.0,6257861.28,3.0066721759138053
2020-07-09,Google,TienTran,Discovery,300458,13253,0.0,523,0,0,0,1,0.9565217391304348,477304.347826087,0,300458.0,0.9565217391304348,22670.942428129478,574.4894837476099,0.0,300458.0,1.5885892465039606
2020-07-09,Google,TienTran,PerMax,106159,4469,0.0,37,0,0,0,1,1.0,499000.0,499000,106159.0,1.0,23754.53121503692,2869.162162162162,0.0,106159.0,4.700496425173561
2020-07-09,Google,TienTran,Guu-Search,26724,350,0.0,11,0,0,0,1,1.0,499000.0,499000,26724.0,1.0,76354.28571428571,2429.4545454545455,0.0,26724.0,18.67235443795839
2020-07-09,Google,TienTran,Guu-PerMax,163967,5649,0.0,62,0,0,0,1,1.0,499000.0,499000,163967.0,1.0,29025.845282350856,2644.6290322580644,0.0,163967.0,3.0432952972244416
2020-07-10,FB,NgocNgo,CVS,239317,3511,3354.0,26,1,0,0,53,36.82608695652174,18376217.391304348,15968000,4515.415094339623,0.6948318293683348,68162.0620905725,9204.5,0.0,258462.36000000002,76.78609288644078
2020-07-10,FB,GiangPhan,CVS,5540466,75568,66488.0,493,25,40,0,47,39.82608695652174,20153217.391304348,18244000,117882.25531914894,0.84736355226642,73317.62121532924,11238.267748478702,138511.65,5983703.28,3.6374589053166915
2020-07-10,FB,ThuHoang,CVS,490951,9634,9010.0,66,2,1,0,5,5.0,2495000.0,2495000,98190.2,1.0,50960.244965746315,7438.651515151515,490951.0,530227.0800000001,5.081973557442596
2020-07-10,Google,TienTran,Search,244349,4454,0.0,152,0,0,0,3,1.9565217391304348,976304.3478260869,499000,81449.66666666667,0.6521739130434783,54860.574764256846,1607.5592105263158,0.0,244349.0,3.9955324058051676
2020-07-10,Google,TienTran,Discovery,343916,15134,0.0,583,0,0,0,2,2.0,998000.0,998000,171958.0,1.0,22724.725783005157,589.9073756432247,0.0,343916.0,2.9018713871991997
2020-07-10,Google,TienTran,PerMax,127728,3814,0.0,67,0,0,0,1,1.0,499000.0,499000,127728.0,1.0,33489.25013109596,1906.3880597014925,0.0,127728.0,3.9067393210572465
2020-07-10,Google,TienTran,Guu-Search,39385,395,0.0,16,0,0,0,1,1.0,499000.0,499000,39385.0,1.0,99708.86075949368,2461.5625,0.0,39385.0,12.669798146502476
2020-07-10,Google,TienTran,Guu-Discovery,79875,5880,0.0,238,0,0,0,2,1.9565217391304348,976304.3478260869,499000,39937.5,0.9782608695652174,13584.183673469388,335.609243697479,0.0,79875.0,12.222902633190447
